0 11
1 18
2 19
3 17
4 20
5 33
6 43
7 45
8 47
9 46
10 56
11 59
12 61
13 57
14 59
15 65
16 65
17 60
18 64
19 65
20 59
21 58
22 64
23 63
24 63
25 69
26 66
27 73
28 74
29 72
30 71
31 71
32 74
33 76
34 82
35 89
36 87
37 88
38 87
39 89
40 90
41 87
42 87
43 89
44 88
45 88
46 87
47 89
48 88
49 89
50 88
51 89
52 88
53 89
54 89
55 89
56 88
57 87
58 89
59 89
60 88
61 88
62 87
63 87
64 88
65 89
66 88
67 88
68 89
69 89
70 88
71 87
72 88
73 88
74 88
75 88
76 88
77 87
78 88
79 88
80 88
81 88
82 88
83 89
84 88
85 87
86 88
87 88
88 87
89 88
90 88
91 88
92 88
93 87
94 89
95 88
96 89
97 88
98 88
99 88
100 87
101 88
102 88
103 87
104 89
