0 11
1 17
2 25
3 34
4 26
5 38
6 28
7 36
8 40
9 46
10 44
11 44
12 54
13 44
14 49
15 37
16 46
17 54
18 42
19 49
20 54
21 43
22 46
23 56
24 51
25 50
26 54
27 53
28 62
29 53
30 76
31 55
32 79
33 71
34 49
35 62
36 65
37 62
38 78
39 76
40 71
41 77
42 80
43 62
44 61
45 67
46 74
47 72
48 66
49 78
50 69
51 62
52 77
53 71
54 91
55 90
56 84
57 86
58 76
59 84
60 90
61 80
62 85
63 89
64 85
65 87
66 90
67 101
68 114
69 104
70 90
71 82
72 90
73 85
74 102
75 88
76 77
77 107
78 97
79 97
80 108
81 109
82 91
83 109
84 108
85 86
86 88
87 90
88 83
89 70
90 94
91 128
92 120
93 116
94 101
95 95
96 90
97 100
98 94
99 103
100 100
101 97
102 98
103 115
104 114
105 111
106 103
107 100
