0 0
1 29
2 32
3 48
4 36
5 46
6 47
7 39
8 47
9 45
10 37
11 45
12 37
13 51
14 66
15 55
16 50
17 53
18 52
19 42
20 54
21 69
22 85
23 81
24 87
25 102
26 108
27 83
28 102
29 123
30 122
31 116
32 110
33 122
34 127
35 126
36 107
37 134
38 137
39 150
40 162
41 129
42 176
43 173
44 189
45 166
46 186
47 181
48 219
49 228
50 218
51 200
52 243
53 195
54 234
55 200
56 233
57 214
58 226
59 223
60 201
61 241
62 209
63 179
64 229
65 225
66 235
67 249
68 247
69 246
70 235
71 197
72 204
73 235
74 217
75 241
76 243
77 250
78 247
79 257
80 234
81 244
82 247
83 243
84 235
85 213
86 226
87 213
88 252
89 238
90 231
91 213
92 236
93 249
94 235
95 218
96 254
97 223
98 251
99 210
100 228
101 237
102 239
103 216
104 246
105 247
106 234
107 253
108 240
109 249
110 219
111 235
112 261
113 231
114 223
115 210
116 206
117 232
118 225
119 253
120 252
121 229
122 212
123 233
124 231
125 241
126 232
127 221
